city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,lat_long
Orlando,"Wyndham Lake Buena Vista Disney Springs® Resort Area, Lake Buena Vista",HOTEL,$103 ,4-star,"From 6,721 reviews
TripAdvisor Traveller Rating",8.4,"1 room, 3 adults","['28.374776', '-81.510462']"
Orlando,"Holiday Inn Resort Orlando - Lake Buena Vista, Orlando",HOTEL,$74 ,3.5-star,"See all 1,164 Hotels.com reviews",8.4,"1 room, 3 adults","['28.371878', '-81.503454']"
Orlando,"The Alfond Inn, Winter Park",HOTEL,$249 ,4-star,See all 331 Hotels.com reviews,9.6,"1 room, 3 adults","['28.595984', '-81.347304']"
Orlando,"DoubleTree by Hilton Hotel Orlando East - UCF Area, Orlando",HOTEL,$95 ,3.5-star,See all 511 Hotels.com reviews,8.8,"1 room, 3 adults","['28.599293', '-81.210936']"
Orlando,"Ramada by Wyndham Altamonte Springs, Altamonte Springs",HOTEL,$79 ,2.5-star,See all 437 Hotels.com reviews,6.2,"1 room, 3 adults","['28.663729', '-81.390367']"
Orlando,"Rodeway Inn International Drive, Orlando",HOTEL,$51 ,2.5-star,"See all 2,579 Hotels.com reviews",3.6,"1 room, 3 adults","['28.443549', '-81.472312']"
Orlando,"Red Lion Hotel Orlando Kissimmee Maingate, Kissimmee",HOTEL,$60 ,3-star,"From 2,256 reviews
TripAdvisor Traveller Rating",7.8,"1 room, 3 adults","['28.332744', '-81.582743']"
Orlando,"Maingate Lakeside Resort, Kissimmee",HOTEL,$49 ,3-star,"See all 3,294 Hotels.com reviews",5.8,"1 room, 3 adults","['28.340968', '-81.594749']"
Orlando,"Crowne Plaza Orlando - Downtown, Orlando",HOTEL,$103 ,3.5-star,See all 787 Hotels.com reviews,8.4,"1 room, 3 adults","['28.552431', '-81.383092']"
Orlando,"Quality Inn At International Drive, Orlando",HOTEL,$74 ,2.5-star,"See all 1,327 Hotels.com reviews",7.4,"1 room, 3 adults","['28.445093', '-81.472527']"
Orlando,"Disney's All-Star Sports Resort, Lake Buena Vista",HOTEL,$106 ,3-star,"See all 1,489 Hotels.com reviews",8.4,"1 room, 3 adults","['28.344814', '-81.575916']"
Orlando,"Knights Inn Maingate Kissimmee Orlando, Kissimmee",HOTEL,$40 ,2-star,See all 649 Hotels.com reviews,4.6,"1 room, 3 adults","['28.332808', '-81.586561']"
Orlando,"Days Inn by Wyndham Orlando Airport Florida Mall, Orlando",HOTEL,$55 ,2.5-star,"See all 1,611 Hotels.com reviews",6.6,"1 room, 3 adults","['28.427315', '-81.404648']"
Orlando,"Sheraton Vistana Resort Villas, Lake Buena Vista / Orlando, Orlando",HOTEL,$179 ,4-star,"See all 1,843 Hotels.com reviews",9,"1 room, 3 adults","['28.368048', '-81.505216']"
Orlando,"Unno Boutique Hotel, Kissimmee",HOTEL,$66 ,3-star,"See all 1,843 Hotels.com reviews",2.6,"1 room, 3 adults","['28.289342', '-81.359226']"
Orlando,"Renaissance Orlando at SeaWorld, Orlando",HOTEL,$119 ,4-star,"From 3,943 reviews
TripAdvisor Traveller Rating",9,"1 room, 3 adults","['28.411703', '-81.467017']"
Orlando,"DoubleTree Suites by Hilton Orlando - Disney Springs® Area, Lake Buena Vista",HOTEL,$112 ,3.5-star,See all 434 Hotels.com reviews,8.4,"1 room, 3 adults","['28.379373', '-81.507472']"
Orlando,"Hyatt Place Orlando/Lake Buena Vista, Orlando",HOTEL,$109 ,3-star,"From 917 reviews
TripAdvisor Traveller Rating",9,"1 room, 3 adults","['28.385822', '-81.505897']"
Orlando,"Altamonte Hotel and Suites, Altamonte Springs",HOTEL,$84 ,2.5-star,See all 729 Hotels.com reviews,4.2,"1 room, 3 adults","['28.660289', '-81.390356']"
Orlando,"Best Western Lake Buena Vista - Disney Springs® Resort Area, Lake Buena Vista",HOTEL,$64 ,3-star,"See all 2,481 Hotels.com reviews",7.8,"1 room, 3 adults","['28.378202', '-81.507528']"
Orlando,"Embassy Suites Orlando International Drive I Drive 360, Orlando",HOTEL,$92 ,3.5-star,See all 725 Hotels.com reviews,8.8,"1 room, 3 adults","['28.446453', '-81.472505']"
Orlando,"Embassy Suites by Hilton Orlando-North, Altamonte Springs",HOTEL,$111 ,3.5-star,See all 455 Hotels.com reviews,8.6,"1 room, 3 adults","['28.663573', '-81.385374']"
Orlando,"Hyatt Regency Grand Cypress, Orlando",HOTEL,$149 ,4-star,"See all 1,732 Hotels.com reviews",9,"1 room, 3 adults","['28.385828', '-81.508499']"
Orlando,"Quality Inn & Suites Winter Park Village Area, Orlando",HOTEL,$71 ,2.5-star,See all 417 Hotels.com reviews,6.2,"1 room, 3 adults","['28.606751', '-81.387916']"
